regime,target,order,seasonal_order,aic,bic,mse,rmse,mae
Complete,Std_diff_1,"(2, 0, 1)","(0, 0, 0, 0)",-33658.143303828474,-33632.981129825384,7.421035617848359e-06,0.0027241577813791108,0.0013585743643482098
Complete,Std_diff_1,"(3, 0, 3)","(0, 0, 0, 0)",-33615.73347554098,-33571.703184210055,7.435342883653019e-06,0.0027267825149162555,0.0013580056389485506
Complete,Std_diff_1,"(0, 0, 3)","(0, 0, 0, 0)",-33620.72727656349,-33595.567110088676,7.4353662438825554e-06,0.0027267867983915713,0.0013580372331666482
Complete,Std_diff_1,"(2, 0, 3)","(0, 0, 0, 0)",-33617.04514039652,-33579.304890684296,7.435402343465352e-06,0.002726793417819794,0.0013580221459883782
Complete,Std_diff_1,"(1, 0, 3)","(0, 0, 0, 0)",-33619.07205927589,-33587.62185118237,7.435412058475264e-06,0.0027267951992174374,0.00135802421850126
Complete,Std_diff_1,"(3, 0, 1)","(0, 0, 0, 0)",-33628.12088139463,-33596.669418438505,7.435434753106713e-06,0.0027267993606253306,0.0013580407736245026
Complete,Std_diff_1,"(3, 0, 0)","(0, 0, 0, 0)",-33630.1407520372,-33604.979581672305,7.435437937263479e-06,0.002726799944488682,0.0013580399040745807
Complete,Std_diff_1,"(3, 0, 2)","(0, 0, 0, 0)",-33626.24078809796,-33588.499032550615,7.4355266946941484e-06,0.00272681621945707,0.0013580497266548926
Complete,Std_diff_1,"(2, 0, 0)","(0, 0, 0, 0)",-33635.17658523285,-33616.304954730535,7.435706450542796e-06,0.002726849180013958,0.0013580424139537964
Complete,Std_diff_1,"(0, 0, 2)","(0, 0, 0, 0)",-33625.272932352054,-33606.40205457838,7.43571679051057e-06,0.0027268510759685008,0.0013580455546900482
Complete,Std_diff_1,"(0, 0, 0)","(0, 0, 0, 0)",-33639.946118368796,-33633.65532402141,7.435753077049768e-06,0.0027268577295212464,0.001358057575587736
Complete,Std_diff_1,"(1, 0, 0)","(0, 0, 0, 0)",-33641.60877562351,-33629.027186928746,7.435761042217378e-06,0.0027268591900238225,0.0013580694725723011
Complete,Std_diff_1,"(0, 0, 1)","(0, 0, 0, 0)",-33631.959749199945,-33619.378662198396,7.435761671208286e-06,0.002726859305356308,0.0013580690895964329
Complete,Std_diff_1,"(1, 0, 2)","(0, 0, 0, 0)",-33627.94312911008,-33602.78195874518,7.435855464303038e-06,0.002726876503309792,0.0013580473923868687
Complete,Std_diff_1,"(1, 0, 1)","(0, 0, 0, 0)",-33637.03523711387,-33618.16360661155,7.4360770518105586e-06,0.002726917133286334,0.0013580729952497002
Complete,Std_diff_1,"(2, 0, 2)","(0, 0, 0, 0)",-33625.32706919762,-33593.8756062415,7.436170813229713e-06,0.0027269343250672013,0.0013580665426087416
High volatility,Std_diff_1,"(0, 0, 2)","(0, 0, 0, 0)",-20060.23756089349,-20042.810154699127,8.581626275086208e-06,0.002929441290602392,0.0014321707093075701
High volatility,Std_diff_1,"(2, 0, 0)","(0, 0, 0, 0)",-20069.712394401813,-20052.283770427854,8.581856489057286e-06,0.002929480583492112,0.001432278197203046
High volatility,Std_diff_1,"(0, 0, 0)","(0, 0, 0, 0)",-20075.859487062884,-20070.049539976408,8.581920391901353e-06,0.0029294914903275197,0.001432140405013791
High volatility,Std_diff_1,"(2, 0, 1)","(0, 0, 0, 0)",-20069.20585725465,-20045.967691956033,8.582039944371763e-06,0.002929511895243261,0.0014326153302839032
High volatility,Std_diff_1,"(1, 0, 2)","(0, 0, 0, 0)",-20060.60356877613,-20037.367027183645,8.582634449608855e-06,0.00292961336179518,0.00143279562721012
High volatility,Std_diff_1,"(2, 0, 2)","(0, 0, 0, 0)",-20058.19670317967,-20029.15102618907,8.583204238331761e-06,0.002929710606584166,0.0014329193722973095
High volatility,Std_diff_1,"(1, 0, 0)","(0, 0, 0, 0)",-20079.242215885333,-20067.62232171238,8.583901683843782e-06,0.0029298296339281883,0.001432820299350346
High volatility,Std_diff_1,"(0, 0, 1)","(0, 0, 0, 0)",-20069.85637300291,-20058.2372903536,8.583981877306998e-06,0.0029298433195833183,0.0014328352689776537
High volatility,Std_diff_1,"(1, 0, 1)","(0, 0, 0, 0)",-20064.43120881502,-20047.002584841062,8.584550182293993e-06,0.002929940303537598,0.0014317874289501446
High volatility,Std_diff_1,"(2, 0, 3)","(0, 0, 0, 0)",-20050.141791070077,-20015.28941522961,8.592213019641316e-06,0.002931247689916585,0.0014352956454800302
High volatility,Std_diff_1,"(1, 0, 3)","(0, 0, 0, 0)",-20052.130870430527,-20023.087223896804,8.59223042235182e-06,0.0029312506583968247,0.001435340548765242
High volatility,Std_diff_1,"(3, 0, 2)","(0, 0, 0, 0)",-20059.039395805117,-20024.184583416394,8.592400432762701e-06,0.002931279657890509,0.001435480192741121
High volatility,Std_diff_1,"(3, 0, 0)","(0, 0, 0, 0)",-20062.99055978263,-20039.754018190146,8.593901665775471e-06,0.002931535717977093,0.0014358089138874586
High volatility,Std_diff_1,"(3, 0, 1)","(0, 0, 0, 0)",-20060.964564972026,-20031.918887981425,8.594219341456323e-06,0.0029315898999444524,0.001435899882150177
High volatility,Std_diff_1,"(0, 0, 3)","(0, 0, 0, 0)",-20053.913278563734,-20030.678361336755,8.595528965263911e-06,0.0029318132555236037,0.0014362342465227451
High volatility,Std_diff_1,"(3, 0, 3)","(0, 0, 0, 0)",-20051.26811514666,-20010.60700999945,8.597940490971396e-06,0.0029322244953228593,0.001436815586851891
Low volatility,Std_diff_1,"(0, 0, 0)","(0, 0, 0, 0)",-18822.017814337312,-18816.407456719,1.4032672544685737e-05,0.003746020894854397,0.0017138882357511105
Low volatility,Std_diff_1,"(0, 0, 1)","(0, 0, 0, 0)",-18815.065658069587,-18803.84593366776,1.4034922503788038e-05,0.003746321196025247,0.0017142212068801872
Low volatility,Std_diff_1,"(1, 0, 0)","(0, 0, 0, 0)",-18825.01697119275,-18813.796255956124,1.4035164481236872e-05,0.0037463534912280864,0.0017142622830836304
Low volatility,Std_diff_1,"(1, 0, 1)","(0, 0, 0, 0)",-18815.245690450574,-18798.416103847834,1.4035412422096903e-05,0.0037463865820410074,0.0017143207799366301
Low volatility,Std_diff_1,"(1, 0, 2)","(0, 0, 0, 0)",-18811.109346428188,-18788.67188027637,1.4038087293038178e-05,0.003746743558483577,0.0017146831093041504
Low volatility,Std_diff_1,"(3, 0, 0)","(0, 0, 0, 0)",-18811.28876697734,-18788.851300825525,1.4038091557626344e-05,0.003746744127589492,0.0017146028721090455
Low volatility,Std_diff_1,"(0, 0, 2)","(0, 0, 0, 0)",-18810.837666086656,-18794.009566472792,1.403809613457689e-05,0.003746744738379823,0.0017147893858645963
Low volatility,Std_diff_1,"(3, 0, 1)","(0, 0, 0, 0)",-18809.327338129,-18781.280505439227,1.4038116229469973e-05,0.003746747420025798,0.001714610560313831
Low volatility,Std_diff_1,"(1, 0, 3)","(0, 0, 0, 0)",-18802.269856177347,-18774.22550303139,1.4038184175362622e-05,0.003746756487331759,0.0017147186109281072
Low volatility,Std_diff_1,"(2, 0, 1)","(0, 0, 0, 0)",-18821.262887249955,-18798.8234384463,1.4038199088565065e-05,0.003746758477479575,0.001714732959293524
Low volatility,Std_diff_1,"(2, 0, 0)","(0, 0, 0, 0)",-18819.847317089247,-18803.017730486506,1.403821105317179e-05,0.003746760074140295,0.0017148642429227322
Low volatility,Std_diff_1,"(0, 0, 3)","(0, 0, 0, 0)",-18801.817094280806,-18779.38161176404,1.4038215452898854e-05,0.0037467606612777995,0.0017146004135814015
Low volatility,Std_diff_1,"(2, 0, 2)","(0, 0, 0, 0)",-18807.1887484895,-18779.14191579973,1.4038245881521825e-05,0.0037467647219330204,0.0017147154224537678
Low volatility,Std_diff_1,"(3, 0, 3)","(0, 0, 0, 0)",-18796.307225276632,-18757.045130872295,1.4038321499705457e-05,0.003746774813049946,0.0017146919921136002
Low volatility,Std_diff_1,"(2, 0, 3)","(0, 0, 0, 0)",-18798.511648005195,-18764.858424230046,1.4038383988992928e-05,0.003746783152117684,0.0017147376328070227
Low volatility,Std_diff_1,"(3, 0, 2)","(0, 0, 0, 0)",-18827.900646939503,-18794.24444771178,1.4072288136546076e-05,0.003751304857852275,0.0017176668508072826
Complete,Log_returns,"(0, 0, 0)","(0, 0, 0, 0)",-15467.73709213937,-15461.44354262431,0.0007480529646291479,0.027350556934533306,0.019462066580696876
Complete,Log_returns,"(0, 0, 1)","(0, 0, 0, 0)",-15476.495555542566,-15463.908956825144,0.000748076663565046,0.027350990175221187,0.01946480557815086
Complete,Log_returns,"(1, 0, 0)","(0, 0, 0, 0)",-15481.76423802418,-15469.177138994059,0.0007480882437257912,0.027351201869859232,0.019465045231739295
Complete,Log_returns,"(0, 0, 2)","(0, 0, 0, 0)",-15470.782141077909,-15451.902993658603,0.0007481231453468309,0.027351839889609455,0.019465480370464916
Complete,Log_returns,"(2, 0, 0)","(0, 0, 0, 0)",-15476.063402907865,-15457.18350483173,0.0007481328889100586,0.02735201800434583,0.01946574105404351
Complete,Log_returns,"(2, 0, 1)","(0, 0, 0, 0)",-15476.097712719253,-15450.924515284407,0.0007481369407940171,0.02735209207344142,0.0194659424504359
Complete,Log_returns,"(0, 0, 3)","(0, 0, 0, 0)",-15467.084484340456,-15441.913288907654,0.0007481373266316314,0.0273520991266051,0.019466527542421296
Complete,Log_returns,"(3, 0, 1)","(0, 0, 0, 0)",-15470.098002002214,-15438.632756303372,0.000748144362928343,0.02735222775073985,0.01946669248494801
Complete,Log_returns,"(3, 0, 0)","(0, 0, 0, 0)",-15472.179802508408,-15447.007605949335,0.0007481462222811106,0.02735226173977411,0.019466743452737852
Complete,Log_returns,"(2, 0, 2)","(0, 0, 0, 0)",-15470.275205310487,-15438.809959611644,0.000748147045872029,0.02735227679503169,0.019466410974334374
Complete,Log_returns,"(3, 0, 2)","(0, 0, 0, 0)",-15469.405326241047,-15431.647031402437,0.0007481519109320276,0.027352365728251508,0.019466820210931723
Complete,Log_returns,"(1, 0, 2)","(0, 0, 0, 0)",-15471.538381598304,-15446.366185039231,0.0007481529887289028,0.027352385430322212,0.019466417733113455
Complete,Log_returns,"(1, 0, 1)","(0, 0, 0, 0)",-15477.639197261686,-15458.75929918555,0.0007481574944695565,0.02735246779487285,0.019466372421391497
Complete,Log_returns,"(1, 0, 3)","(0, 0, 0, 0)",-15466.42594297208,-15434.961948681079,0.0007481700139426197,0.02735269664845899,0.019467298655042563
Complete,Log_returns,"(2, 0, 3)","(0, 0, 0, 0)",-15464.604655958967,-15426.847862809764,0.0007481808936081054,0.027352895525119554,0.019467679858531373
Complete,Log_returns,"(3, 0, 3)","(0, 0, 0, 0)",-15466.4117932804,-15422.362201272997,0.0007483969033780488,0.027356843812436565,0.019471885337921022
High volatility,Log_returns,"(0, 0, 0)","(0, 0, 0, 0)",-9043.866363301035,-9038.051559871545,0.0008887829734519131,0.029812463391204577,0.023504146594833575
High volatility,Log_returns,"(0, 0, 1)","(0, 0, 0, 0)",-9046.482678666423,-9034.853879398814,0.0008893961257190429,0.0298227451070327,0.02353516931714339
High volatility,Log_returns,"(1, 0, 0)","(0, 0, 0, 0)",-9051.278064163915,-9039.648457304937,0.000889671783511641,0.029827366352255122,0.023537419376270515
High volatility,Log_returns,"(0, 0, 3)","(0, 0, 0, 0)",-9034.322556492,-9011.06819028019,0.000890149697072775,0.029835376603501673,0.02353456518347883
High volatility,Log_returns,"(3, 0, 1)","(0, 0, 0, 0)",-9036.910503347633,-9007.84052497262,0.0008902064954797156,0.029836328451733393,0.02353521499578116
High volatility,Log_returns,"(3, 0, 0)","(0, 0, 0, 0)",-9038.960434820894,-9015.704452120883,0.000890229700060495,0.029836717313747756,0.023535410280703856
High volatility,Log_returns,"(2, 0, 3)","(0, 0, 0, 0)",-9031.99094496587,-8997.109395648155,0.0008902638508233703,0.029837289602498585,0.023529890870928428
High volatility,Log_returns,"(0, 0, 2)","(0, 0, 0, 0)",-9040.326779165196,-9022.884792140188,0.0008903652438001984,0.0298389886524359,0.023541567147816633
High volatility,Log_returns,"(2, 0, 0)","(0, 0, 0, 0)",-9045.056721263973,-9027.613522362559,0.0008904607698742715,0.029840589301725787,0.02354216275917096
High volatility,Log_returns,"(1, 0, 3)","(0, 0, 0, 0)",-9033.100959019204,-9004.033001254442,0.0008905675194204138,0.02984237791162785,0.023531913846320713
High volatility,Log_returns,"(3, 0, 2)","(0, 0, 0, 0)",-9034.287491113577,-8999.40351706356,0.0008905732610907674,0.029842474111419905,0.023531395422855334
High volatility,Log_returns,"(1, 0, 1)","(0, 0, 0, 0)",-9045.320394581133,-9027.877195679719,0.000890591588039555,0.029842781171324415,0.023541806878639895
High volatility,Log_returns,"(1, 0, 2)","(0, 0, 0, 0)",-9038.98156437185,-9015.725581671839,0.0008908912429952108,0.029847801309228972,0.02353633458785844
High volatility,Log_returns,"(2, 0, 1)","(0, 0, 0, 0)",-9043.749400857814,-9020.491802322596,0.000891075942390647,0.029850895169000326,0.023538669822074955
High volatility,Log_returns,"(2, 0, 2)","(0, 0, 0, 0)",-9035.647945851468,-9006.577967476454,0.0008913643072965831,0.029855724866373334,0.023539122524929547
High volatility,Log_returns,"(3, 0, 3)","(0, 0, 0, 0)",-9035.614926875556,-8994.91978600489,0.0008918624438136984,0.029864066096459443,0.023589931121048922
Low volatility,Log_returns,"(3, 0, 0)","(0, 0, 0, 0)",-9020.663551513386,-8998.226085361568,0.0012055729571911259,0.03472136168399975,0.022646301484303476
Low volatility,Log_returns,"(3, 0, 1)","(0, 0, 0, 0)",-9018.739144898143,-8990.692312208372,0.001205579305233525,0.03472145309795552,0.022646421064528327
Low volatility,Log_returns,"(2, 0, 3)","(0, 0, 0, 0)",-9011.781719881297,-8978.12849610615,0.0012055878321062742,0.03472157588742588,0.022646644379452994
Low volatility,Log_returns,"(0, 0, 3)","(0, 0, 0, 0)",-9015.651460058405,-8993.21597754164,0.0012055878843624896,0.03472157663992938,0.02264669486476542
Low volatility,Log_returns,"(1, 0, 3)","(0, 0, 0, 0)",-9013.701972817184,-8985.657619671227,0.0012056034143873011,0.03472180027572449,0.022646975578510333
Low volatility,Log_returns,"(3, 0, 2)","(0, 0, 0, 0)",-9017.108963015882,-8983.452763788157,0.0012056167375693741,0.03472199213134774,0.022647888179910473
Low volatility,Log_returns,"(2, 0, 1)","(0, 0, 0, 0)",-9022.189440741007,-8999.749991937353,0.001205753349655936,0.03472395930270533,0.02264927287971514
Low volatility,Log_returns,"(1, 0, 1)","(0, 0, 0, 0)",-9023.98509395456,-9007.15550735182,0.0012058247623882624,0.03472498757938241,0.022650770862940692
Low volatility,Log_returns,"(2, 0, 2)","(0, 0, 0, 0)",-9016.928440008684,-8988.881607318912,0.0012058428851855598,0.03472524852590057,0.0226518802797145
Low volatility,Log_returns,"(1, 0, 2)","(0, 0, 0, 0)",-9018.49376914245,-8996.056302990632,0.001205913019679084,0.03472625835990805,0.02265242263864132
Low volatility,Log_returns,"(2, 0, 0)","(0, 0, 0, 0)",-9022.80785481894,-9005.9782682162,0.0012060109083300167,0.03472766776404682,0.022654159768974523
Low volatility,Log_returns,"(0, 0, 2)","(0, 0, 0, 0)",-9019.912585868864,-9003.084486255002,0.00120605900731858,0.03472836027396888,0.022655012388831712
Low volatility,Log_returns,"(1, 0, 0)","(0, 0, 0, 0)",-9028.311665983256,-9017.09095074663,0.0012061958530152756,0.03473033044782724,0.02265837759674737
Low volatility,Log_returns,"(0, 0, 1)","(0, 0, 0, 0)",-9022.554216629804,-9011.334492227976,0.0012062105648268048,0.03473054224780841,0.022658714993639962
Low volatility,Log_returns,"(0, 0, 0)","(0, 0, 0, 0)",-9024.802355711985,-9019.191998093673,0.0012062239301187895,0.03473073466137435,0.022659043321518562
Low volatility,Log_returns,"(3, 0, 3)","(0, 0, 0, 0)",-9012.820340009048,-8973.558245604709,0.0012066225782505456,0.034736473313371145,0.022659152147494123
Complete,Close_diff_1,"(0, 0, 0)","(0, 0, 0, 0)",-1338.0223674188958,-1331.7288179038355,0.007282913999999999,0.08533999062573185,0.055684
Complete,Close_diff_1,"(0, 0, 1)","(0, 0, 0, 0)",-1336.7262070744646,-1324.1396083570419,0.00728295044180692,0.0853402041350202,0.05568624347374747
Complete,Close_diff_1,"(1, 0, 0)","(0, 0, 0, 0)",-1338.0988472141,-1325.5117481839793,0.00728295951872186,0.08534025731577015,0.05568637853944077
Complete,Close_diff_1,"(2, 0, 2)","(0, 0, 0, 0)",-1335.0098769414617,-1303.5446312426195,0.007283023378785874,0.08534063146465388,0.05568725003775175
Complete,Close_diff_1,"(0, 0, 2)","(0, 0, 0, 0)",-1334.049294170728,-1315.1701467514226,0.007283132416673486,0.08534127030149882,0.055687373726148875
Complete,Close_diff_1,"(2, 0, 0)","(0, 0, 0, 0)",-1335.562280090316,-1316.6823820141822,0.007283165469537753,0.08534146395239393,0.05568772366394378
Complete,Close_diff_1,"(0, 0, 3)","(0, 0, 0, 0)",-1335.9101428698318,-1310.7389474370302,0.007283183285294475,0.08534156833158432,0.055690187281123085
Complete,Close_diff_1,"(1, 0, 1)","(0, 0, 0, 0)",-1339.965409295814,-1321.08551121968,0.007283183876506703,0.08534157179538412,0.055688490511114665
Complete,Close_diff_1,"(3, 0, 0)","(0, 0, 0, 0)",-1337.8345875462742,-1312.6623909872003,0.0072832550237177975,0.08534198863231274,0.05569086145618562
Complete,Close_diff_1,"(1, 0, 2)","(0, 0, 0, 0)",-1337.1774208275326,-1312.0052242684587,0.007283339705874848,0.08534248476506205,0.05568935349100449
Complete,Close_diff_1,"(2, 0, 1)","(0, 0, 0, 0)",-1335.5712758330046,-1310.3980783981592,0.007283390176030184,0.08534278045640524,0.05568983817501739
Complete,Close_diff_1,"(3, 0, 1)","(0, 0, 0, 0)",-1338.1903622417926,-1306.7251165429504,0.007283396486110438,0.08534281742543093,0.05569221361258943
Complete,Close_diff_1,"(3, 0, 2)","(0, 0, 0, 0)",-1333.9445880546032,-1296.1862932159925,0.007283407612832262,0.08534288261379658,0.05569045018411603
Complete,Close_diff_1,"(1, 0, 3)","(0, 0, 0, 0)",-1337.267927675774,-1305.803933384772,0.007283483899681523,0.08534332955586818,0.05569332501046989
Complete,Close_diff_1,"(2, 0, 3)","(0, 0, 0, 0)",-1337.7181806157482,-1299.961387466546,0.007284578035176425,0.08534973951440289,0.05570407665486687
Complete,Close_diff_1,"(3, 0, 3)","(0, 0, 0, 0)",-1337.1154193031662,-1293.0658272957635,0.007285455568152398,0.08535488016600104,0.05570469714926474
Low volatility,Close_diff_1,"(3, 0, 0)","(0, 0, 0, 0)",-4149.7875357440935,-4127.350069592277,0.016363262994304763,0.12791897042387718,0.07218887127766367
Low volatility,Close_diff_1,"(0, 0, 3)","(0, 0, 0, 0)",-4146.848899003621,-4124.4134164868565,0.01636411882740792,0.12792231559586437,0.0721947472504257
Low volatility,Close_diff_1,"(1, 0, 3)","(0, 0, 0, 0)",-4144.875975839612,-4116.831622693656,0.01636477840837439,0.12792489362268156,0.07219841329197164
Low volatility,Close_diff_1,"(2, 0, 1)","(0, 0, 0, 0)",-4146.670995000783,-4124.231546197128,0.016365125258500902,0.12792624929427465,0.07219773466544205
Low volatility,Close_diff_1,"(3, 0, 1)","(0, 0, 0, 0)",-4148.806590603208,-4120.759757913437,0.016365872657553713,0.1279291704716079,0.07220831753627677
Low volatility,Close_diff_1,"(1, 0, 2)","(0, 0, 0, 0)",-4146.805011387735,-4124.367545235918,0.016366427393744134,0.1279313385912308,0.07220537770228977
Low volatility,Close_diff_1,"(1, 0, 1)","(0, 0, 0, 0)",-4147.662668974176,-4130.833082371435,0.016366862448989467,0.12793303892657856,0.07220869749276561
Low volatility,Close_diff_1,"(3, 0, 2)","(0, 0, 0, 0)",-4148.447495340395,-4114.791296112669,0.016367553299756876,0.12793573894638227,0.0722055851791918
Low volatility,Close_diff_1,"(3, 0, 3)","(0, 0, 0, 0)",-4146.423216480273,-4107.161122075934,0.016368164372058493,0.12793812712424116,0.07221129872653766
Low volatility,Close_diff_1,"(2, 0, 3)","(0, 0, 0, 0)",-4147.688843695246,-4114.035619920099,0.016369020961289768,0.1279414747503317,0.07221457793960222
Low volatility,Close_diff_1,"(2, 0, 0)","(0, 0, 0, 0)",-4145.467701190541,-4128.6381145878,0.0163693234917839,0.12794265704519311,0.07222228644448703
Low volatility,Close_diff_1,"(0, 0, 2)","(0, 0, 0, 0)",-4147.460802727723,-4130.63270311386,0.016370061738389684,0.12794554208095602,0.07222626657034356
Low volatility,Close_diff_1,"(1, 0, 0)","(0, 0, 0, 0)",-4146.456044333807,-4135.235329097181,0.01637222843139981,0.12795400904778173,0.07224236669288758
Low volatility,Close_diff_1,"(0, 0, 1)","(0, 0, 0, 0)",-4143.064853533463,-4131.845129131636,0.01637237481327807,0.1279545810562407,0.072243375002859
Low volatility,Close_diff_1,"(0, 0, 0)","(0, 0, 0, 0)",-4143.5076593959075,-4137.897301777594,0.016372519999999995,0.12795514839192676,0.07224444444444446
Low volatility,Close_diff_1,"(2, 0, 2)","(0, 0, 0, 0)",-4146.248184919366,-4118.201352229596,0.016375432336050745,0.12796652818628293,0.0722314522974576
High volatility,Close_diff_1,"(0, 0, 0)","(0, 0, 0, 0)",98.57522820510366,104.39003163459302,0.01809876086956523,0.13453163519992326,0.10587681159420291
High volatility,Close_diff_1,"(0, 0, 1)","(0, 0, 0, 0)",100.75429499370998,112.38309426131894,0.0181017537582899,0.1345427581042172,0.10591967162304333
High volatility,Close_diff_1,"(1, 0, 0)","(0, 0, 0, 0)",99.78808405553877,111.4176909145175,0.01810236561485855,0.1345450319218757,0.10592136912629523
High volatility,Close_diff_1,"(0, 0, 3)","(0, 0, 0, 0)",103.71266500730673,126.96703121911645,0.01810246009581553,0.1345453830341849,0.10585999632743044
High volatility,Close_diff_1,"(3, 0, 0)","(0, 0, 0, 0)",102.45320733295284,125.709190032964,0.018108341784276723,0.13456723889668215,0.10586424340590471
High volatility,Close_diff_1,"(0, 0, 2)","(0, 0, 0, 0)",103.43002320415206,120.87201022916044,0.01811944454273534,0.1346084861468078,0.10594353550698857
High volatility,Close_diff_1,"(2, 0, 0)","(0, 0, 0, 0)",102.4043453094514,119.84754421086487,0.01812205992822488,0.1346182005830745,0.10594806990783862
High volatility,Close_diff_1,"(1, 0, 3)","(0, 0, 0, 0)",103.41736936612372,132.48532713088588,0.01812540588787852,0.1346306275996607,0.10585190019988495
High volatility,Close_diff_1,"(3, 0, 1)","(0, 0, 0, 0)",102.68118430677129,131.75116268178525,0.018126873234094395,0.13463607701539138,0.10585583033507
High volatility,Close_diff_1,"(2, 0, 3)","(0, 0, 0, 0)",104.27519268035942,139.15674199807404,0.018131787693918235,0.1346543266810177,0.10590543367284459
High volatility,Close_diff_1,"(3, 0, 2)","(0, 0, 0, 0)",106.10625954842686,140.9902335984436,0.018134382078377313,0.13466395983475798,0.10587284549164042
High volatility,Close_diff_1,"(1, 0, 1)","(0, 0, 0, 0)",100.10384450104166,117.54704340245513,0.01814223171171384,0.1346931019455482,0.1059271661758908
High volatility,Close_diff_1,"(2, 0, 2)","(0, 0, 0, 0)",105.08976623932605,134.15974461434,0.018142784782019524,0.13469515500573703,0.1059326076303958
High volatility,Close_diff_1,"(1, 0, 2)","(0, 0, 0, 0)",102.6012451961565,125.85722789616766,0.018153093617302232,0.1347334168545511,0.10591621283447838
High volatility,Close_diff_1,"(2, 0, 1)","(0, 0, 0, 0)",101.70386710688834,124.96146564210629,0.018153795652941427,0.13473602210597369,0.10592752143285344
High volatility,Close_diff_1,"(3, 0, 3)","(0, 0, 0, 0)",105.69774398541898,146.39288485608603,0.01816944019107943,0.1347940658600349,0.10600018316122943
